cell_id,sample_id,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
aclogfji-1,TMA00317,False,False,False,none
aclokkdd-1,TMA00317,False,False,False,none
acmekljg-1,TMA00317,False,False,False,none
acmhhjai-1,TMA00317,False,False,False,none
acmhpgim-1,TMA00317,False,False,False,none
acmjgien-1,TMA00317,False,False,False,none
acmomapa-1,TMA00317,False,False,False,none
acmonaha-1,TMA00317,False,False,False,none
acnbgocc-1,TMA00317,False,False,False,none
acncgdpe-1,TMA00317,False,False,False,none
acnebjap-1,TMA00317,False,False,False,none
acnmjhop-1,TMA00317,False,False,False,none
acnpncbd-1,TMA00317,False,False,False,none
acoeibfb-1,TMA00317,False,False,False,none
acokeikn-1,TMA00317,False,False,False,none
acpelmeg-1,TMA00317,False,False,False,none
acphkpln-1,TMA00317,False,False,False,none
acppcbme-1,TMA00317,False,False,False,none
acpppmlo-1,TMA00317,False,False,False,none
adacgcmf-1,TMA00317,False,False,False,none
adahpcph-1,TMA00317,False,False,False,none
adampccf-1,TMA00317,False,False,False,none
adaombol-1,TMA00317,False,False,False,none
adbcokho-1,TMA00317,False,False,False,none
adbdffic-1,TMA00317,False,False,False,none
adbdmmii-1,TMA00317,False,False,False,none
adbfhjde-1,TMA00317,False,False,False,none
adbfjeji-1,TMA00317,False,False,False,none
adbhdpka-1,TMA00317,False,False,False,none
adbmjknl-1,TMA00317,False,False,False,none
adcckahn-1,TMA00317,False,False,False,none
adclojgn-1,TMA00317,False,False,False,none
adcmkajm-1,TMA00317,False,False,False,none
addfehml-1,TMA00317,False,False,False,none
addmfcon-1,TMA00317,False,False,False,none
addngnnk-1,TMA00317,False,False,False,none
adecolik-1,TMA00317,True,False,False,EGFP_Seq1_hi
adedgkkl-1,TMA00317,False,False,False,none
adeenbpi-1,TMA00317,False,False,False,none
adehcncp-1,TMA00317,False,False,False,none
adeodkdo-1,TMA00317,False,False,False,none
adepamja-1,TMA00317,False,False,False,none
adfaalgi-1,TMA00317,False,False,False,none
adfageei-1,TMA00317,False,False,False,none
adfekhmp-1,TMA00317,False,False,False,none
adffmjlj-1,TMA00317,False,False,False,none
adfjbmfo-1,TMA00317,False,False,False,none
adgllamj-1,TMA00317,False,False,False,none
adhgokja-1,TMA00317,False,False,False,none
adhnabkl-1,TMA00317,False,False,False,none
adhonlpd-1,TMA00317,False,False,False,none
adhpjaef-1,TMA00317,False,False,False,none
adifbhea-1,TMA00317,False,False,False,none
adigfjfn-1,TMA00317,False,False,False,none
adjckfnc-1,TMA00317,False,False,False,none
adjfnnoi-1,TMA00317,False,False,False,none
adjgjcnm-1,TMA00317,False,False,False,none
adjhaklh-1,TMA00317,False,False,False,none
adjhhjkp-1,TMA00317,False,False,False,none
adjilkpf-1,TMA00317,False,False,False,none
adjjoejo-1,TMA00317,False,False,False,none
adjlmpjf-1,TMA00317,False,False,False,none
adjnfjpo-1,TMA00317,False,False,False,none
adkdildk-1,TMA00317,False,False,False,none
adkpcaeh-1,TMA00317,False,False,False,none
adljdcji-1,TMA00317,False,False,False,none
admdhkjf-1,TMA00317,False,False,False,none
admdpmmf-1,TMA00317,False,False,False,none
admfaiea-1,TMA00317,False,False,False,none
admkhjcd-1,TMA00317,False,False,False,none
admlclhk-1,TMA00317,False,False,False,none
adnaaecl-1,TMA00317,False,False,False,none
adncicfp-1,TMA00317,False,False,False,none
adncokda-1,TMA00317,False,False,False,none
adneikhb-1,TMA00317,False,False,False,none
adnepagl-1,TMA00317,False,False,False,none
adngldke-1,TMA00317,False,False,False,none
adnkodjd-1,TMA00317,False,False,False,none
adnoladn-1,TMA00317,False,False,False,none
adobbgmp-1,TMA00317,False,False,False,none
adodeini-1,TMA00317,False,False,False,none
adoegnfh-1,TMA00317,False,False,False,none
adoiommd-1,TMA00317,False,False,False,none
adombkac-1,TMA00317,False,False,False,none
adpalkib-1,TMA00317,False,False,False,none
adpenhbm-1,TMA00317,False,False,False,none
adpfmcih-1,TMA00317,False,False,False,none
adpkedfl-1,TMA00317,False,False,False,none
adpmcmpm-1,TMA00317,False,False,False,none
adpmkdko-1,TMA00317,False,False,False,none
aeackogj-1,TMA00317,False,False,False,none
aeaehaia-1,TMA00317,False,False,False,none
aeafionn-1,TMA00317,False,False,False,none
aeaioolc-1,TMA00317,False,False,False,none
aeammnok-1,TMA00317,False,False,False,none
aebbdpbl-1,TMA00317,False,False,False,none
aebdnlmo-1,TMA00317,False,False,False,none
aebedjoc-1,TMA00317,False,False,False,none
aebhcdpa-1,TMA00317,False,False,False,none
aebhlabg-1,TMA00317,False,False,False,none
aebjlmla-1,TMA00317,False,False,False,none
aecfejbd-1,TMA00317,False,False,False,none
aecfgpoh-1,TMA00317,False,False,False,none
aecgmijg-1,TMA00317,False,False,False,none
aecjohpm-1,TMA00317,False,False,False,none
aeckijfi-1,TMA00317,False,False,False,none
aecmaeng-1,TMA00317,False,False,False,none
aecnoalk-1,TMA00317,False,False,False,none
aedekcnb-1,TMA00317,False,False,False,none
aedjcani-1,TMA00317,False,False,False,none
aeehejmc-1,TMA00317,False,False,False,none
aeeloffp-1,TMA00317,False,False,False,none
aeendjld-1,TMA00317,False,False,False,none
aeeohmdc-1,TMA00317,False,False,False,none
aeeopojg-1,TMA00317,False,False,False,none
aefdgdfi-1,TMA00317,False,False,False,none
aegdkcpp-1,TMA00317,False,False,False,none
aegfijoa-1,TMA00317,False,False,False,none
