cell_id,sample_id,neuron_label,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
gchfaomc-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gchgnhkm-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gchpidmo-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gciophhd-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gckhanon-1,TMA00317,Sst,False,False,False,Sst
gckhbmmc-1,TMA00317,Sst,False,False,False,Sst
gckkfioc-1,TMA00317,CGRP-Beta,False,False,False,CGRP-Beta
gckliifc-1,TMA00317,CGRP-Alpha,False,False,False,CGRP-Alpha
gckncacg-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gcmackko-1,TMA00317,CGRP-Alpha,False,False,False,CGRP-Alpha
gcmbgjen-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gcmjpalg-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gcnaloii-1,TMA00317,Proprioceptors,False,False,False,Proprioceptors
gcofjecj-1,TMA00317,Abeta-RA-LTMR,False,False,False,Abeta-RA-LTMR
gcogpdpc-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gcomdjgb-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gdbapfbi-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gddgmoen-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gdfikafn-1,TMA00317,CGRP-Eta,False,False,False,CGRP-Eta
gdfmkgoh-1,TMA00317,CGRP-Eta,False,False,False,CGRP-Eta
gdiiceeb-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gdpmbgff-1,TMA00317,Sst,False,False,False,Sst
geeenmgm-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gegajmhh-1,TMA00317,CGRP-Gamma 2,False,False,False,CGRP-Gamma 2
gegbllap-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gfkmncln-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gfkpncbo-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gfkppgnl-1,TMA00317,TrpM8,False,False,False,TrpM8
gfncclgi-1,TMA00317,C-LTMR,False,False,False,C-LTMR
gfoanfkn-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gfokanpf-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gfolacno-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gfolpjhd-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gfomdokd-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gfomgeik-1,TMA00317,Sst,False,False,False,Sst
gfopliii-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
ghpkflnm-1,TMA00317,Adelta-LTMR,False,False,False,Adelta-LTMR
ghpmphjh-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
ghpnojpm-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gidkkkcp-1,TMA00317,Proprioceptors,False,False,False,Proprioceptors
giebagmh-1,TMA00317,CGRP-Eta,False,False,False,CGRP-Eta
giedckbd-1,TMA00317,Adelta-LTMR,False,False,False,Adelta-LTMR
gieecbgb-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gifbmojn-1,TMA00317,Adelta-LTMR,False,False,False,Adelta-LTMR
gifngpbm-1,TMA00317,Abeta-Field,False,False,False,Abeta-Field
gigeokbe-1,TMA00317,Abeta-Field,False,False,False,Abeta-Field
gihgogjh-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
giklalaa-1,TMA00317,CGRP-Eta,False,False,False,CGRP-Eta
gilhnlep-1,TMA00317,CGRP-Gamma 2,False,False,False,CGRP-Gamma 2
gimbkmci-1,TMA00317,CGRP-Eta,False,False,False,CGRP-Eta
gimblmpo-1,TMA00317,CGRP-Gamma 2,True,False,False,CGRP-Gamma 2
gimfmeea-1,TMA00317,CGRP-Epsilion,False,False,False,CGRP-Epsilion
gjcabacl-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gjcbombk-1,TMA00317,C-LTMR,False,False,False,C-LTMR
gjcelneo-1,TMA00317,Abeta-Field,False,False,False,Abeta-Field
gjcmonbe-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gjdhmldd-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gjdjpokn-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gjdkecii-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gjebjhdp-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gjecnnhg-1,TMA00317,C-LTMR,False,False,False,C-LTMR
gjeddbgk-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gjefdnkj-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gjlbfdfg-1,TMA00317,C-LTMR,False,False,False,C-LTMR
gkgdfkmk-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gkgeiibm-1,TMA00317,CGRP-Eta,False,False,False,CGRP-Eta
gkhopmac-1,TMA00317,CGRP-Zeta,False,False,False,CGRP-Zeta
gkikikhp-1,TMA00317,CGRP-Zeta,False,False,False,CGRP-Zeta
gkjhfgdf-1,TMA00317,Abeta-Field,False,False,False,Abeta-Field
gkjlhmco-1,TMA00317,TrpM8,False,False,False,TrpM8
gkkjgclk-1,TMA00317,TrpM8,False,False,False,TrpM8
gkkkfmdf-1,TMA00317,TrpM8,False,False,False,TrpM8
gklfkkbb-1,TMA00317,CGRP-Theta,False,False,False,CGRP-Theta
gkmandeg-1,TMA00317,Abeta-Field,False,False,False,Abeta-Field
gkpdjoko-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gkpndkca-1,TMA00317,Sst,False,False,False,Sst
gkppjfbb-1,TMA00317,Sst,False,False,False,Sst
glaccbja-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
glalifca-1,TMA00317,CGRP-Eta,False,False,False,CGRP-Eta
glaopjbm-1,TMA00317,C-LTMR,False,False,False,C-LTMR
glaphkmg-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
glbfoccl-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
glbhmlag-1,TMA00317,Sst,False,False,False,Sst
glbjehoa-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
glbkcbdf-1,TMA00317,CGRP-Theta,False,False,False,CGRP-Theta
glblhffc-1,TMA00317,C-LTMR,False,False,False,C-LTMR
glcfmmio-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
glchcljj-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
glcpdhng-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gldbhoha-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gldfhjkd-1,TMA00317,CGRP-Theta,False,False,False,CGRP-Theta
gldgpnjo-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gldkoekp-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gldmcbbp-1,TMA00317,C-LTMR,False,False,False,C-LTMR
glfbkkjd-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
glfefean-1,TMA00317,CGRP-Eta,False,False,False,CGRP-Eta
glfhhjdl-1,TMA00317,CGRP-Eta,False,False,False,CGRP-Eta
glhcahgc-1,TMA00317,CGRP-Theta,False,False,False,CGRP-Theta
glhfiafi-1,TMA00317,Proprioceptors,False,False,False,Proprioceptors
