cell_id,sample_id,neuron_label,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
fgoiloil-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fgolaahl-1,TMA00318,C-LTMR,False,False,False,C-LTMR
fgongnid-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fhclbina-1,TMA00318,CGRP-Theta,False,False,False,CGRP-Theta
fhcmikjd-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fhdjopgp-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fhdkagec-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fhfamkeo-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fhfgkoia-1,TMA00318,Sst,False,False,False,Sst
fhflfgcd-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fhgfagif-1,TMA00318,CGRP-Eta,False,False,False,CGRP-Eta
fhgfpofk-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fhhlkcnh-1,TMA00318,Proprioceptors,False,False,False,Proprioceptors
fhhoikog-1,TMA00318,TrpM8,False,False,False,TrpM8
fhidflea-1,TMA00318,CGRP-Theta,False,False,False,CGRP-Theta
fhidhjon-1,TMA00318,CGRP-Epsilion,False,False,False,CGRP-Epsilion
fhijijog-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fhikgegn-1,TMA00318,Abeta-Field,False,False,False,Abeta-Field
fhjbpidj-1,TMA00318,CGRP-Theta,False,False,False,CGRP-Theta
fhklgfgp-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fhlabanh-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fhlmbkjc-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fhmcmpep-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fhnbmnfm-1,TMA00318,Proprioceptors,False,False,False,Proprioceptors
fidhlhcl-1,TMA00318,CGRP-Eta,False,False,False,CGRP-Eta
fidokkmo-1,TMA00318,TrpM8,False,False,False,TrpM8
fiibdged-1,TMA00318,CGRP-Theta,False,False,False,CGRP-Theta
fijfhclo-1,TMA00318,CGRP-Eta,False,False,False,CGRP-Eta
fijihmlb-1,TMA00318,Sst,False,False,False,Sst
fijomboi-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
fikpdmab-1,TMA00318,Sst,False,False,False,Sst
fimeeool-1,TMA00318,Sst,False,False,False,Sst
