cell_id,sample_id,neuron_label,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
gmmaeknb-1,TMA00315,Abeta-Field,False,False,False,Abeta-Field
gmmagmgp-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmmanpla-1,TMA00315,CGRP-Zeta,False,False,False,CGRP-Zeta
gmmdnedm-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmmebhja-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmnekmde-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmnfhmcd-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmnlijkb-1,TMA00315,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gmnoggob-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmodfbdh-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmofdnfm-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmohfadp-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmokdikl-1,TMA00315,Sst,False,False,False,Sst
gmpajalm-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmpbbbll-1,TMA00315,Sst,False,False,False,Sst
gmpbgjfb-1,TMA00315,Sst,False,False,False,Sst
gmpchhjo-1,TMA00315,Sst,False,False,False,Sst
gmpdhead-1,TMA00315,Abeta-Field,False,False,False,Abeta-Field
gmpencgn-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmphgfdg-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gmpipgop-1,TMA00315,Sst,False,False,False,Sst
gmpjebji-1,TMA00315,C-LTMR,False,False,False,C-LTMR
gnaakmbh-1,TMA00315,Proprioceptors,False,False,False,Proprioceptors
gnacbpdo-1,TMA00315,Abeta-Field,False,False,False,Abeta-Field
gnafihbl-1,TMA00315,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gnahlabd-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gnamgffo-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gnbjbble-1,TMA00315,TrpM8,False,False,False,TrpM8
gncphkcd-1,TMA00315,C-LTMR,False,False,False,C-LTMR
gndlkgnm-1,TMA00315,Abeta-Field,False,False,False,Abeta-Field
gndlkgpp-1,TMA00315,CGRP-Theta,False,False,False,CGRP-Theta
gndlodgl-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gnfoecjd-1,TMA00315,CGRP-Beta,False,False,False,CGRP-Beta
gnhajdcf-1,TMA00315,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gnhamige-1,TMA00315,CGRP-Zeta,False,False,False,CGRP-Zeta
gnhhbdeo-1,TMA00315,Proprioceptors,False,False,False,Proprioceptors
gnholffk-1,TMA00315,Adelta-LTMR,False,False,False,Adelta-LTMR
gnibbmck-1,TMA00315,C-LTMR,False,False,False,C-LTMR
gniggblf-1,TMA00315,C-LTMR,False,False,False,C-LTMR
gnjdhckl-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gnjfjcnd-1,TMA00315,Proprioceptors,False,False,False,Proprioceptors
gnjglein-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gnmjnjfl-1,TMA00315,CGRP-Beta,False,False,False,CGRP-Beta
gnmmheop-1,TMA00315,TrpM8,False,False,False,TrpM8
gnnhmgap-1,TMA00315,CGRP-Eta,False,False,False,CGRP-Eta
gnnkhjgo-1,TMA00315,CGRP-Alpha,False,False,False,CGRP-Alpha
gnnokgcb-1,TMA00315,CGRP-Eta,False,False,False,CGRP-Eta
gnooemki-1,TMA00315,CGRP-Eta,False,False,False,CGRP-Eta
gnopkhhj-1,TMA00315,CGRP-Eta,False,False,False,CGRP-Eta
gnpcebdi-1,TMA00315,CGRP-Eta,False,False,False,CGRP-Eta
goalcjna-1,TMA00315,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gobfmaeh-1,TMA00315,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gobfohlg-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
gobidamc-1,TMA00315,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gobkdegk-1,TMA00315,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
goblcbhg-1,TMA00315,CGRP-Alpha,False,False,False,CGRP-Alpha
gocaliel-1,TMA00315,CGRP-Alpha,False,False,False,CGRP-Alpha
gocbcgig-1,TMA00315,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gocbcnnj-1,TMA00315,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
gocbmfml-1,TMA00315,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
goccjggb-1,TMA00315,CGRP-Eta,False,False,False,CGRP-Eta
gociafla-1,TMA00315,CGRP-Alpha,False,False,False,CGRP-Alpha
goclcgai-1,TMA00315,CGRP-Alpha,False,False,False,CGRP-Alpha
godcocbf-1,TMA00315,C-LTMR,False,False,False,C-LTMR
godegpkh-1,TMA00315,CGRP-Eta,False,False,False,CGRP-Eta
godjhcnl-1,TMA00315,Abeta-RA-LTMR,False,False,False,Abeta-RA-LTMR
godkdgaj-1,TMA00315,CGRP-Gamma 2,False,False,False,CGRP-Gamma 2
godljfdb-1,TMA00315,CGRP-Epsilion,False,False,False,CGRP-Epsilion
godlooaj-1,TMA00315,Adelta-LTMR,False,False,False,Adelta-LTMR
godmeejf-1,TMA00315,Adelta-LTMR,False,False,False,Adelta-LTMR
godpgopp-1,TMA00315,CGRP-Gamma 2,False,False,False,CGRP-Gamma 2
goeaaijb-1,TMA00315,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
goeamnni-1,TMA00315,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
goecbmec-1,TMA00315,CGRP-Eta,False,False,False,CGRP-Eta
