cell_id,sample_id,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
acnjdfcp-1,TMA00318,False,False,False,none
acnjdlif-1,TMA00318,False,False,False,none
acnjgael-1,TMA00318,False,True,False,dTomato_Seq2_hi
acocfepm-1,TMA00318,False,False,False,none
acocopgo-1,TMA00318,False,False,False,none
acodmnom-1,TMA00318,False,False,False,none
acoeacla-1,TMA00318,False,False,False,none
acolbeke-1,TMA00318,False,False,False,none
aconibld-1,TMA00318,False,False,False,none
aconinjo-1,TMA00318,False,False,False,none
acpakioh-1,TMA00318,False,False,False,none
acpdmhll-1,TMA00318,False,False,False,none
acpehfgd-1,TMA00318,False,False,False,none
acpenhhl-1,TMA00318,False,False,False,none
acplhpdo-1,TMA00318,False,False,False,none
acpmkdda-1,TMA00318,False,False,False,none
adaghpkd-1,TMA00318,False,False,False,none
adaikbdp-1,TMA00318,False,False,False,none
adamdpoc-1,TMA00318,False,False,False,none
adampfgj-1,TMA00318,False,False,False,none
adapckdb-1,TMA00318,False,False,False,none
adbbolpa-1,TMA00318,False,False,False,none
adbcnhle-1,TMA00318,False,False,False,none
adbeihko-1,TMA00318,False,False,False,none
adbejbfm-1,TMA00318,False,False,False,none
adbocgjk-1,TMA00318,False,False,False,none
adccfnmg-1,TMA00318,False,False,False,none
adccjldn-1,TMA00318,False,False,False,none
adcckkmb-1,TMA00318,False,False,False,none
adcgblmc-1,TMA00318,False,False,False,none
adckhcgo-1,TMA00318,False,False,False,none
adcnjchp-1,TMA00318,False,False,False,none
addbflag-1,TMA00318,False,False,False,none
addchane-1,TMA00318,False,False,False,none
addghlec-1,TMA00318,False,False,False,none
addminkh-1,TMA00318,False,False,False,none
addmpkno-1,TMA00318,False,False,False,none
addnljni-1,TMA00318,False,False,False,none
addohljf-1,TMA00318,False,False,False,none
adednijk-1,TMA00318,False,False,False,none
adehfblc-1,TMA00318,False,False,False,none
adeljfji-1,TMA00318,False,False,False,none
adffmlbl-1,TMA00318,False,False,False,none
adfgklbf-1,TMA00318,False,False,False,none
adfkgohj-1,TMA00318,False,False,False,none
adfmmcbb-1,TMA00318,False,False,False,none
adfpoeei-1,TMA00318,False,False,False,none
adgchiko-1,TMA00318,False,False,False,none
adgmgbag-1,TMA00318,False,False,False,none
adgoigef-1,TMA00318,False,False,False,none
adhfndea-1,TMA00318,False,False,False,none
adhlllhh-1,TMA00318,False,False,False,none
adhlnpme-1,TMA00318,False,False,False,none
adicdmkj-1,TMA00318,False,False,False,none
adidhijf-1,TMA00318,False,False,False,none
adidodlg-1,TMA00318,False,False,False,none
adiehjno-1,TMA00318,False,False,False,none
adieiphf-1,TMA00318,False,False,False,none
adiemafa-1,TMA00318,False,False,False,none
adiffmoh-1,TMA00318,False,False,False,none
adigfkod-1,TMA00318,False,False,False,none
adigoojc-1,TMA00318,False,False,False,none
adihclem-1,TMA00318,False,False,False,none
adiiaeoc-1,TMA00318,False,False,False,none
adiinmcb-1,TMA00318,False,False,False,none
adinfbbc-1,TMA00318,False,False,False,none
adinncen-1,TMA00318,False,False,False,none
adjgnaem-1,TMA00318,False,False,False,none
adjjlope-1,TMA00318,False,False,False,none
